Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
"Typ komunikacji niewerbalnej obejmujący ton, głośność i barwę głosu, to:",parajęzyk,kinezjetyka,proksemika,chronemika
"Dosłowne, obiektywne znaczenie słowa (np. „dom” jako fizyczny budynek) nazywamy:",denotacją,konotacją,parafrazą,klaryfikacją
"Emocje i skojarzenia, jakie wywołuje dane słowo (np. „dom” jako ciepło i bezpieczeństwo), zależne od osoby i kultury, nazywamy:",konotacją,denotacją,parafrazą,dekodowaniem
"Zgodnie z zasadami konstruktywnej krytyki, uwagi krytyczne powinny być przekazywane:","bezpośrednio po zaistniałym zdarzeniu, na bieżąco",dopiero po zakończeniu całego projektu,wyłącznie podczas rocznej oceny pracowniczej,po uprzednim skonsultowaniu z całym zespołem
"Zgodnie z zasadami konstruktywnej krytyki, ocenie powinny podlegać:","konkretne zachowania pracownika, a nie jego cechy osobowości",wyłącznie cechy osobowości pracownika,wyłącznie intencje pracownika,wyłącznie długoterminowe wyniki pracownika
"Zgodnie z zasadą uczciwej kłótni (Fair Fight), problemy w sporze należy:","rozwiązywać po kolei, jeden po drugim","rozwiązywać wszystkie naraz, dla oszczędności czasu","całkowicie ignorować, dopóki się same nie rozwiążą",przekazywać do rozstrzygnięcia osobie trzeciej
"Zgodnie z badaniami nad autoprezentacją, to jak inni nas odbierają zależy w największym stopniu od:",mowy ciała (55%),brzmienia głosu (38%),treści słów (7%),stroju i wyglądu zewnętrznego
Optymalny czas kontaktu wzrokowego podczas negocjacji lub prezentacji powinien wynosić:,od 30% do 60% czasu rozmowy,od 5% do 15% czasu rozmowy,od 70% do 100% czasu rozmowy,"dokładnie 50% czasu rozmowy, bez wyjątków"
"Codzienne, poranne spotkania pracowników z menedżerami, służące bieżącemu przekazywaniu informacji i podejmowaniu decyzji, nazywane są:",spotkaniami QAM (Quality Audit Meeting),Idea Boxami,burzą mózgów,technikami kanapki
"Sytuacja, w której co najmniej dwie wzajemnie zależne strony zauważają, że ich cele, zadania lub wartości są ze sobą sprzeczne, to:",konflikt,negocjacje,mediacja,kompromis
"Współczesne podejście do konfliktu w organizacji zakłada, że:",konflikt jest zjawiskiem naturalnym i może przyczynić się do podniesienia sprawności działania firmy,"konflikt jest wyłącznie zjawiskiem negatywnym, którego należy za wszelką cenę unikać",konflikt zawsze prowadzi do rozpadu zespołu,"im więcej konfliktu w organizacji, tym lepsza jej efektywność"
"Zgodnie z tzw. kołem konfliktu Moore'a, konflikt wynikający z braku informacji lub błędnej interpretacji danych, to konflikt:",danych,relacji,wartości,interesów
"Konflikt wynikający ze złej komunikacji, silnych emocji i stereotypów między współpracownikami, niezależnie od omawianego tematu, to konflikt:",relacji,danych,wartości,strukturalny
"Konflikt wynikający z odmiennych kryteriów oceny, religii i etyki (np. spór o pracę zdalną między pokoleniami), to konflikt:",wartości,danych,relacji,interesów
"Konflikt dotyczący zasobów, pieniędzy lub czasu, wynikający z naturalnej sprzeczności celów (np. sprzedawca i kupujący spierający się o cenę), to konflikt:",interesów,danych,relacji,wartości
"Konflikt wynikający z nierównego rozkładu władzy, zasobów lub struktury organizacji (np. brak zaktualizowanych procedur po zakupie nowych maszyn), to konflikt:",strukturalny,danych,relacji,wartości
"W klasycznym przebiegu konfliktu faza, w której narasta chęć zniszczenia przeciwnika, a strony utwierdzają się w słuszności swoich racji, to faza:",wybuchu,powstania,przebiegu,wyniku
"Najdłuższym etapem konfliktu, w którym można go rozstrzygnąć przez unikanie, uleganie, narzucanie, kompromis lub współpracę, jest faza:",przebiegu,powstania,wybuchu,wyniku
Nierozwiązany konflikt z czasem:,"eskaluje, przybierając na wykresie postać nieregularnie rosnącej w czasie linii",samoistnie wygasa bez żadnej interwencji,"pozostaje na stałym, niezmiennym poziomie",natychmiast przechodzi do fazy wyniku
"Sposób kierowania konfliktem polegający na dążeniu do osiągnięcia jak największych korzyści dla siebie, z całkowitym pominięciem interesów partnera, to styl:",rywalizacji (dominacji),kompromisu,unikania,przystosowania
"Sposób kierowania konfliktem skupiający się na oddzieleniu ludzi od problemu, eliminacji emocji i poszukiwaniu rozwiązania satysfakcjonującego wszystkie strony, to styl:",rozwiązywania problemów (win-win),rywalizacji,kompromisu,unikania
"Sposób kierowania konfliktem polegający na wzajemnych ustępstwach, prowadzący do szybkiego porozumienia, ale rzadko w pełni satysfakcjonujący którąkolwiek ze stron, to:",kompromis,rywalizacja,unikanie,przystosowanie
"Styl kierowania konfliktem zalecany głównie wtedy, gdy przedmiot sporu jest mało istotny lub szanse na jego rozwiązanie są bardzo małe, to:",unikanie,rywalizacja,kompromis,przystosowanie
"Styl kierowania konfliktem charakteryzujący się dużym zaufaniem do partnera i gotowością na daleko idące ustępstwa w celu utrzymania dobrych relacji, to:",przystosowanie (styl miękki),rywalizacja (styl twardy),kompromis,unikanie
"Metoda rozwiązywania konfliktu polegająca na wykorzystaniu neutralnej, bezstronnej osoby, która nie podejmuje decyzji, lecz pomaga stronom wypracować porozumienie, to:",mediacja,negocjacje,arbitraż,kompromis
"Metoda rozwiązywania konfliktu, w której spór rozstrzyga osoba trzecia narzucająca stronom wiążące rozwiązanie (np. Bankowy Arbitraż Konsumencki), to:",arbitraż,mediacja,negocjacje,kompromis
"Zgodnie z dwuczynnikową teorią Herzberga, prawdziwą motywację pracownika da się uzyskać jedynie dzięki:","czynnikom satysfakcji (np. możliwości awansu, uznaniu, sukcesom)","czynnikom higieny (np. wynagrodzeniu, warunkom pracy)",wyłącznie wysokości wynagrodzenia,wyłącznie jakości nadzoru przełożonego
"Kształtowanie czynników higieny (wynagrodzenie, warunki pracy, stosunki interpersonalne) w teorii Herzberga pozwala jedynie na:",zminimalizowanie niezadowolenia pracownika z pracy,"wywołanie prawdziwej, długotrwałej motywacji",zwiększenie kreatywności pracownika,całkowite wyeliminowanie potrzeby nadzoru
"Teoria D. McClellanda wyróżnia trzy kluczowe potrzeby: osiągnięć, władzy oraz:",przynależności,bezpieczeństwa,samorealizacji,uznania
"Zgodnie z teorią oczekiwań V. Vrooma, o poziomie naszej motywacji decydują dwa elementy: to, jak bardzo czegoś pragniemy, oraz:","to, jak oceniamy szanse na spełnienie tego pragnienia własnymi działaniami",wyłącznie wysokość oferowanej nagrody finansowej,wyłącznie opinia współpracowników na nasz temat,wyłącznie poziom trudności zadania
"Zgodnie z teorią atrybucji, ludzie tłumaczą efekty swoich działań, przypisując je własnym zdolnościom, włożonemu wysiłkowi, trudności zadania oraz:",szczęściu,opinii przełożonego,wysokości wynagrodzenia,porze dnia
"Teoria sprawiedliwości J.S. Adamsa głosi, że pracownicy nieustannie:",porównują swój wysiłek i wynagrodzenie z wysiłkiem i wynagrodzeniem innych osób w otoczeniu,dążą wyłącznie do maksymalizacji własnego wynagrodzenia,"ignorują to, jak są traktowani inni pracownicy",oceniają swoją pracę wyłącznie w oderwaniu od innych
W teorii wzmocnienia B.F. Skinnera metoda polegająca na nagradzaniu pożądanych zachowań pracownika nazywana jest:,pozytywnym wzmocnieniem,uczeniem unikania,wygaszaniem,karaniem
"W teorii wzmocnienia B.F. Skinnera metoda polegająca na osłabianiu niepożądanego zachowania poprzez brak nagrody za nie, nazywana jest:",wygaszaniem,pozytywnym wzmocnieniem,uczeniem unikania,karaniem
"W teorii wzmocnienia B.F. Skinnera metoda pozwalająca pracownikowi uniknąć niepożądanych skutków dzięki poprawnemu działaniu, nazywana jest:",uczeniem unikania,pozytywnym wzmocnieniem,wygaszaniem,karaniem
"Teoria Z W. Ouchiego uzupełnia teorie X i Y McGregora, zakładając, że:","ludzie są różni i kierują się rozmaitymi potrzebami, dlatego do każdego pracownika trzeba podejść indywidualnie",wszyscy pracownicy z natury unikają pracy i wymagają ścisłego nadzoru,wszyscy pracownicy naturalnie lubią pracować bez wyjątku,motywacja pracowników zależy wyłącznie od wysokości ich wynagrodzenia
"Świadczenia takie jak samochód służbowy, laptop czy finansowanie szkoleń, których wartość pracownik może łatwo przeliczyć na pieniądze, zaliczamy do narzędzi motywacji:",materialnych niepieniężnych,materialnych pieniężnych,niematerialnych,mieszanych
"Systemy kafeteryjne (np. Motivizer, MyBenefit), w których pracownik sam wybiera swoje benefity, są nowoczesną formą dystrybucji narzędzi motywacji:",materialnych niepieniężnych,materialnych pieniężnych,niematerialnych,wyłącznie finansowych
Włączanie pracowników w zarządzanie przedsiębiorstwem (empowerment/partycypacja) zaliczane jest do narzędzi motywacji:,niematerialnych,materialnych pieniężnych,materialnych niepieniężnych,mieszanych
Premie za osiągnięcie celów sprzedażowych zaliczane są do narzędzi motywacji:,materialnych pieniężnych,materialnych niepieniężnych,niematerialnych,mieszanych
Najlepszą pozycję negocjacyjną daje stronom:,silna BATNA,emocjonalne argumentowanie,wysoka gotowość do kompromisu,zaczynanie od niskich oczekiwań
W procesie negocjacji pojęcie BATNA (Best Alternative to a Negotiated Agreement) oznacza:,"najlepszą alternatywę, jaką strona może zrealizować, jeśli negocjacje zakończą się fiaskiem",maksymalny budżet na zakup,minimalną akceptowalną cenę,"najlepszą ofertę, jaką możemy przedstawić partnerowi"
"Umiejętność skłaniania ludzi do przyjęcia danego przekonania (wartości) poprzez oddziaływanie na ich sposób myślenia i zachowania, wykorzystywana jako narzędzie służące do zmiany stanowiska drugiej strony w negocjacjach, to:",umiejętność perswazji,asertywność,BATNA,indoktrynacja
Cechą dobrego negocjatora nie jest:,nieustępliwość,asertywność,empatia,kreatywność
Wręczenie osobie symbolicznego prezentu przed poproszeniem o datek w kweście ulicznej jest przykładem zastosowania:,techniki wzajemności,techniki autorytetu,techniki konsekwencji,techniki niedostępności
"Proces bezkrytycznego, jednostronnego wpajania określonych doktryn lub przekonań, często przy użyciu przymusu lub manipulacji, wykluczający konstruktywny dialog, to:",indoktrynacja,perswazja,asertywność,mediacja
"Konflikt oczekiwań i sposobów myślenia, pojawiający się, gdy człowiek trafia do nowego otoczenia kulturowego i doświadcza różnic między własną kulturą a normami nowego miejsca, to:",dysonans kulturowy,dysonans poznawczy,konflikt wartości,indoktrynacja
"Styl negocjacji polegający na dążeniu do maksymalizacji własnych korzyści kosztem partnera, to styl:",twardy,miękki,rzeczowy,integratywny
"Styl negocjacji polegający na poszukiwaniu rozwiązania korzystnego dla obu stron w oparciu o obiektywne kryteria, to styl:",rzeczowy,twardy,miękki,dystrybutywny
"Rezultat negocjacji, w którym żadna ze stron nie osiąga satysfakcjonującego wyniku, nazywany jest:",przegrana-przegrana (lose-lose),wygrana-wygrana (win-win),wygrana-przegrana (win-lose),remisem
"Model prowadzenia negocjacji traktujący je jako grę o sumie zerowej, w której dozwolone są manipulacje, blef i przekazywanie szczątkowych informacji, to model:",dystrybutywny,integratywny,kooperacyjny,rzeczowy
"Zasada dobrych negocjacji polegająca na umieszczaniu najsilniejszych argumentów na początku i na końcu rozmowy, dotyczy:",odpowiedniego szyku argumentacji,pakietyzacji,BATNA,oddzielenia ludzi od problemu
"Negocjowanie wielu zmiennych jednocześnie, zamiast rozpatrywania ich pojedynczo, nazywane jest:",pakietyzacją,dekalogiem ustępowania,techniką kontrastu,taktyką zdechłej ryby
"Taktyka negocjacyjna, w której jeden negocjator jest bardzo agresywny, a drugi uprzejmy, aby zachęcić oponenta do szybszych ustępstw, nazywana jest taktyką:",dobrego i złego policjanta,zdechłej ryby,protezy,małych-wielkich spraw
"Taktyka negocjacyjna polegająca na wysunięciu skrajnie wygórowanego żądania, z którego negocjator następnie wspaniałomyślnie rezygnuje w zamian za to, na czym zależało mu od początku, to:",taktyka zdechłej ryby,taktyka protezy,dobry i zły policjant,technika kontrastu
Tłumaczenie braku chęci ustępstw wymyślonymi czynnikami zewnętrznymi (np. „szef się nie zgodzi”) to taktyka:,protezy,zdechłej ryby,dobrego i złego policjanta,małych-wielkich spraw
"Taktyka negocjacyjna polegająca na powiększaniu wagi własnych ustępstw, a pomniejszaniu ustępstw drugiej strony, nazywana jest taktyką:",małych-wielkich spraw,zdechłej ryby,protezy,techniką niedostępności
"Osoba powolna, która nie dąży do żadnych zmian w życiu i jest zadowolona z tego, co osiągnęła, ma typ osobowości:",flegmatyka,choleryka,melancholika,sangwinika
Która cecha charakteryzuje osobowość sangwinika:,pozytywne nastawienie do świata,obwinianie innych za swoje niepowodzenia,nerwowe podejście do wykonywania zadań,umiejętność zarządzania swoim czasem
"W modelu wielkiej piątki osobowości czynnikiem, który określa towarzyskość, serdeczność, asertywność, aktywność i emocjonalność pozytywną, jest:",ekstrawersja,neurotyczność,sumienność,otwartość na doświadczenia
"Charakterystyczny i względnie stały sposób reagowania osoby na środowisko oraz wchodzenia z nim w interakcje, to:",osobowość,temperament,tożsamość,socjalizacja
"Typ osobowości wg Hollanda nastawiony na działanie praktyczne, preferujący pracę fizyczną i obsługę maszyn (np. mechanik, elektryk), to typ:",realistyczny,badawczy,artystyczny,konwencjonalny
"Typ osobowości wg Hollanda skoncentrowany na poznawaniu i analizowaniu świata, preferujący rozwiązywanie skomplikowanych problemów (np. naukowiec, programista), to typ:",badawczy,realistyczny,artystyczny,społeczny
"Typ osobowości wg Hollanda charakteryzujący się dużą wyobraźnią i potrzebą niezależności, unikający rutyny i sztywnych reguł (np. architekt, muzyk), to typ:",artystyczny,realistyczny,badawczy,konwencjonalny
"Typ osobowości wg Hollanda zorientowany na drugiego człowieka, czerpiący satysfakcję z pomagania i doradzania (np. nauczyciel, psycholog), to typ:",społeczny,przedsiębiorczy,konwencjonalny,artystyczny
"Typ osobowości wg Hollanda skupiony na osiąganiu celów organizacyjnych i finansowych, lubiący kierować ludźmi i negocjować (np. menedżer, handlowiec), to typ:",przedsiębiorczy,społeczny,badawczy,konwencjonalny
"Typ osobowości wg Hollanda preferujący pracę wysoce uporządkowaną, opartą na jasnych regułach i procedurach (np. księgowy, urzędnik), to typ:",konwencjonalny,realistyczny,przedsiębiorczy,badawczy
"Typ temperamentu wg Hipokratesa opisywany jako impulsywny ekstrawertyk, ambitny i odważny, często zajmujący stanowiska liderskie, to:",choleryk,sangwinik,flegmatyk,melancholik
"Typ temperamentu wg Hipokratesa opisywany jako wrażliwy introwertyk, powściągliwy i sumienny, o wysokich standardach wobec siebie i innych, to:",melancholik,choleryk,sangwinik,flegmatyk
